
Opening Error Output File (MD2ERROR.TXT) on Thu Jan 09 16:46:56.330, 2003


columns = 40, rows = 40
col_vstep = 102.564102, row_vstep = 102.564102
col_tstep=6.538462, row_tstep=6.538462
num_vertices = 1600, num_polys = 3042
Vertex 251: V[-871.794861, 41.176472, -1384.615356], T[71.923080, 39.230770]
Vertex 252: V[-769.230774, 46.666668, -1384.615356], T[78.461540, 39.230770]
Vertex 253: V[-666.666687, 41.176472, -1384.615356], T[85.000000, 39.230770]
Vertex 254: V[-564.102539, 24.705883, -1384.615356], T[91.538467, 39.230770]
Vertex 255: V[-461.538452, 8.235294, -1384.615356], T[98.076927, 39.230770]
Vertex 256: V[-358.974365, 5.490196, -1384.615356], T[104.615387, 39.230770]
Vertex 257: V[-256.410278, 16.470589, -1384.615356], T[111.153847, 39.230770]
Vertex 258: V[-153.846161, 41.176472, -1384.615356], T[117.692307, 39.230770]
Vertex 259: V[-51.282059, 68.627457, -1384.615356], T[124.230774, 39.230770]
Vertex 260: V[51.282043, 93.333336, -1384.615356], T[130.769226, 39.230770]
Vertex 261: V[153.846146, 107.058830, -1384.615356], T[137.307693, 39.230770]
Vertex 262: V[256.410248, 96.078438, -1384.615356], T[143.846161, 39.230770]
Vertex 263: V[358.974365, 65.882355, -1384.615356], T[150.384613, 39.230770]
Vertex 264: V[461.538452, 32.941177, -1384.615356], T[156.923080, 39.230770]
Vertex 265: V[564.102539, 10.980392, -1384.615356], T[163.461548, 39.230770]
Vertex 266: V[666.666626, 2.745098, -1384.615356], T[170.000000, 39.230770]
Vertex 267: V[769.230774, 2.745098, -1384.615356], T[176.538467, 39.230770]
Vertex 268: V[871.794861, 5.490196, -1384.615356], T[183.076935, 39.230770]
Vertex 269: V[974.358948, 10.980392, -1384.615356], T[189.615387, 39.230770]
Vertex 270: V[1076.923096, 13.725491, -1384.615356], T[196.153854, 39.230770]
Vertex 271: V[1179.487183, 10.980392, -1384.615356], T[202.692307, 39.230770]
Vertex 272: V[1282.051270, 5.490196, -1384.615356], T[209.230774, 39.230770]
Vertex 273: V[1384.615356, 0.000000, -1384.615356], T[215.769241, 39.230770]
Vertex 274: V[1487.179443, 0.000000, -1384.615356], T[222.307693, 39.230770]
Vertex 275: V[1589.743530, 0.000000, -1384.615356], T[228.846161, 39.230770]
Vertex 276: V[1692.307617, 0.000000, -1384.615356], T[235.384613, 39.230770]
Vertex 277: V[1794.871826, 0.000000, -1384.615356], T[241.923080, 39.230770]
Vertex 278: V[1897.435913, 0.000000, -1384.615356], T[248.461548, 39.230770]
Vertex 279: V[2000.000000, 0.000000, -1384.615356], T[255.000000, 39.230770]
Vertex 280: V[-2000.000000, 0.000000, -1282.051270], T[0.000000, 45.769234]
Vertex 281: V[-1897.435913, 2.745098, -1282.051270], T[6.538462, 45.769234]
Vertex 282: V[-1794.871826, 16.470589, -1282.051270], T[13.076923, 45.769234]
Vertex 283: V[-1692.307739, 57.647060, -1282.051270], T[19.615385, 45.769234]
Vertex 284: V[-1589.743652, 123.529419, -1282.051270], T[26.153847, 45.769234]
